epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.881,1.33075,1.369,1.14216,0.91888,0.81578,0.8897,0.55237,1.36089,0.88795,1.11451,0.00999181,0.0033306,0.00999181,0.0033306,0.00999181,0.0033306,0.00999181,0.0033306
2,281.843,1.33738,0.88961,1.14387,0.8976,0.76384,0.84978,0.51013,1.42661,0.97457,1.17754,0.0196619,0.00655398,0.0196619,0.00655398,0.0196619,0.00655398,0.0196619,0.00655398
3,420.316,1.39188,0.93914,1.18435,0.90998,0.79141,0.87665,0.52683,1.40443,0.93446,1.16407,0.0290021,0.00966736,0.0290021,0.00966736,0.0290021,0.00966736,0.0290021,0.00966736
4,557.903,1.35635,0.89446,1.17156,0.89924,0.87749,0.93132,0.58938,1.30179,0.70827,1.09449,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,695.681,1.28723,0.81271,1.13758,0.94034,0.8961,0.94546,0.62663,1.2209,0.64095,1.06647,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,833.855,1.24852,0.76823,1.12269,0.94326,0.90364,0.95438,0.63946,1.19016,0.60285,1.04938,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,972.349,1.22532,0.74622,1.10625,0.94196,0.91628,0.96064,0.64162,1.19977,0.57908,1.0492,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,1110.89,1.20229,0.72175,1.09516,0.9449,0.9312,0.96854,0.65768,1.17106,0.5471,1.03522,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,1249.05,1.19362,0.71029,1.09157,0.95169,0.93137,0.97007,0.65719,1.17719,0.53697,1.03401,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,1386.92,1.18299,0.70353,1.08487,0.95258,0.94334,0.97519,0.66445,1.15468,0.51988,1.02081,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,1525.13,1.16728,0.68837,1.07504,0.94761,0.93222,0.97177,0.67033,1.13438,0.5158,1.01663,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
